location_name,latitude,longitude,postcode,location_type,Operator
Corrour,56.76019896,-4.690597107,PH30 4AA,mainline_station,Scotrail
Coryton,51.52036973,-3.231538797,CF14 7BW,mainline_station,Arriva Trains Wales
Coseley,52.5450936,-2.085779159,WV14 8XP,mainline_station,West Midlands Trains
Cosford,52.644968,-2.306194661,WV7 3EY,mainline_station,West Midlands Trains
Cosham,50.84208432,-1.06754988,PO6 3BD,mainline_station,South West Trains
Cottingham,53.78166481,-0.406425104,HU16 4LL,mainline_station,Northern
Cottingley,53.76783456,-1.587702959,LS11 0JT,mainline_station,Northern
Coulsdon South,51.31583718,-0.137884398,CR5 3EA,mainline_station,GTR
Coulsdon Town,51.322434,-0.13432,CR5 2BQ,mainline_station,GTR
Coventry,52.40082838,-1.513460517,CV1 2GT,mainline_station,Virgin Trains West Coast
Coventry Arena,52.448457,-1.496628,CV6 6AS,mainline_station,West Midlands Trains
Cowden (Kent),51.15563114,0.110041555,TN8 7DS,mainline_station,GTR
Cowdenbeath,56.11208188,-3.343182977,KY4 9SQ,mainline_station,Scotrail
Cradley Heath,52.46966253,-2.090490391,B64 5AL,mainline_station,West Midlands Trains
Craigendoran,55.9947777,-4.711231697,G84 7BQ,mainline_station,Scotrail
Cramlington,55.0877699,-1.598597623,NE23 9EX,mainline_station,Northern
Cranbrook (Devon),50.749689,-3.4222744,EX5 2DY,mainline_station,South West Trains
Craven Arms,52.44201187,-2.837052833,SY7 9PY,mainline_station,Arriva Trains Wales
Crawley,51.1122072,-0.186672649,RH10 1JA,mainline_station,GTR
